Subject,Overall Frequency,bau,mas,arc,phy,elt,inf,tec,oek,sow,jur,mat,pae,hor,meda,rest,geo,fer,lit,phi,his,ver,lin,cet,che,bio,rel,spo,ber,med
Literatur,2784,1,1,6,2,0,4,4,2,123,7,1,52,0,10,31,16,0,1678,44,190,2,542,1,0,4,62,1,0,0
Unternehmen,2773,1,9,0,0,5,276,97,1296,290,99,28,541,0,61,25,6,3,2,2,12,1,7,10,0,1,0,1,0,0
Nachhaltigkeit,2195,109,44,326,7,13,28,36,616,205,35,4,183,60,13,63,86,9,0,15,13,50,1,215,12,21,7,22,2,0
Architektur,2120,117,6,1499,1,9,15,8,13,96,2,3,87,0,5,24,33,4,10,6,148,3,6,4,0,1,10,9,1,0
Deutsch,1816,11,1,7,2,2,3,7,8,59,11,1,152,1,1,14,7,1,788,15,51,4,623,5,6,8,27,1,0,0
Digitalisierung,1505,17,12,39,2,19,141,67,389,228,73,8,300,6,20,75,14,0,15,21,13,10,18,7,0,2,8,0,0,1
Management,1443,10,2,14,0,1,62,37,643,135,22,12,378,4,31,15,8,1,1,4,4,14,1,11,1,2,1,29,0,0
Kind,1441,0,0,5,1,0,20,3,15,400,40,4,602,1,115,19,4,0,33,22,59,1,48,1,0,3,17,28,0,0
Kultur,1344,3,2,44,0,2,11,7,27,267,12,4,74,12,23,30,41,0,143,47,403,8,62,5,0,12,87,17,1,0
Politik,1299,0,1,8,1,1,8,16,52,501,32,1,26,4,8,22,29,0,41,67,356,0,8,1,0,2,111,2,0,1
Gesellschaft,1190,2,1,48,1,0,40,18,62,440,21,5,90,2,17,39,47,0,19,56,160,0,8,5,1,4,97,7,0,0
Philosophie,1158,0,0,23,48,2,12,12,17,91,7,25,73,0,13,36,3,0,85,567,38,0,35,1,2,11,56,1,0,0
Englisch,1139,13,3,7,2,2,2,7,14,33,2,1,55,1,2,9,4,1,531,1,28,5,392,6,10,7,1,0,0,0
Globalisierung,1136,2,1,15,0,0,5,11,321,363,32,0,71,9,2,35,66,0,24,24,89,5,23,6,0,2,30,0,0,0
Stadtplanung,1114,21,4,639,0,1,8,1,26,133,5,1,11,2,3,3,167,0,2,1,43,19,1,14,0,5,2,2,0,0
Strategisches Management,1101,5,0,7,0,0,47,28,606,76,3,8,278,0,6,9,5,0,0,0,1,9,0,7,0,0,1,4,0,1
Frau,1091,1,0,19,2,0,4,16,54,504,29,3,78,2,20,13,7,0,66,13,177,0,4,0,0,0,73,6,0,0
