Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Architektur,1187,0,0,319,615,72,62,19,21,62,17
Literatur,1169,0,0,406,520,55,53,3,15,87,30
Unternehmen,991,0,0,685,118,17,7,15,5,136,8
Nachhaltigkeit,983,0,0,384,421,22,49,20,8,61,18
Deutsch,766,0,0,483,53,52,15,20,1,119,23
Digitalisierung,686,1,0,441,112,36,12,10,1,63,10
Kind,576,0,0,399,78,16,7,19,2,49,6
Englisch,561,0,0,82,391,5,18,0,13,15,37
Politik,538,0,0,257,173,24,13,7,13,42,9
Kultur,535,0,0,307,128,31,23,11,7,21,7
Gesellschaft,520,0,0,298,127,25,16,10,8,29,7
Stadtplanung,519,0,0,99,323,22,22,8,18,15,12
Management,515,0,0,333,127,7,9,7,3,26,3
Philosophie,504,1,0,278,138,23,15,8,4,33,4
Globalisierung,488,0,0,172,206,24,31,10,15,25,5
Maschinelles Lernen,483,0,2,30,262,0,144,1,2,27,15
Statistik,481,0,0,202,208,1,32,21,5,4,8
Künstliche Intelligenz,474,1,1,137,194,9,86,6,12,13,15
Mathematik,456,0,1,269,121,3,21,28,6,5,2
Rezeption,448,0,0,132,133,46,18,1,6,89,23
Jugend,438,0,0,295,31,19,0,13,2,73,5
Soziologie,427,0,0,262,92,12,0,10,8,37,6
Stadtentwicklung,413,0,0,129,195,21,16,7,8,28,9
Strategisches Management,411,0,0,293,53,11,0,2,2,50,0
Demokratie,408,0,0,222,91,27,8,6,3,36,15
Internet,403,0,0,183,93,11,34,20,5,49,8
Frau,403,0,0,186,129,17,8,14,9,29,11
Islam,400,0,0,187,108,30,11,8,14,28,14
Klimaänderung,397,0,7,110,177,1,25,8,8,31,30
Wirtschaftspolitik,393,0,101,104,141,12,13,2,8,9,3
Religion,385,0,0,166,129,31,22,5,11,14,7
Kommunikation,366,0,0,200,57,20,4,4,3,68,10
Wirtschaft,362,0,77,108,136,12,7,4,4,11,3
Recht,346,0,10,173,60,27,11,8,0,46,11
Wirtschaftsentwicklung,342,0,28,81,186,8,17,3,7,8,4
Stadt,339,0,0,120,150,12,17,3,7,18,12
Internationaler Vergleich,338,0,0,102,174,6,16,4,6,27,3
Datenanalyse,336,0,0,88,164,1,42,5,3,12,21
Physik,331,0,0,153,152,1,11,7,3,4,0
Zukunft,327,1,72,186,35,14,4,10,1,3,1
Marketing,318,0,6,223,49,12,0,7,1,20,0
Neue Medien,313,0,0,147,99,20,9,3,5,29,1
Informationstechnik,306,0,0,154,94,6,10,10,12,16,4
Ethik,301,0,0,161,72,21,6,4,6,28,3
Computersicherheit,295,0,1,61,157,3,47,4,11,8,3
Theorie,295,0,24,152,67,6,4,5,2,32,3
Kunst,290,0,0,127,71,48,16,1,4,17,6
Schule,290,0,0,194,34,8,2,9,1,37,5
Führung,289,0,0,242,23,2,1,4,2,14,1
Sozialarbeit,278,0,0,218,5,16,1,10,0,28,0
Hochschule,275,0,0,138,42,36,2,4,0,49,4
Methode,275,0,0,134,105,7,6,7,2,12,2
Mathematisches Modell,274,0,0,22,206,0,20,0,6,11,9
Data Mining,274,0,0,14,139,1,100,2,7,6,5
Migration,274,0,13,112,68,22,8,3,1,33,14
Sozialer Wandel,271,0,0,151,61,12,6,4,10,22,5
Projektmanagement,270,0,0,190,55,0,2,4,3,13,3
Nationalsozialismus,268,0,0,162,31,25,5,5,1,36,3
Film,265,0,0,93,102,17,10,6,6,25,6
Innovationsmanagement,264,0,0,171,41,7,1,6,0,33,5
Computersimulation,263,1,38,16,93,0,20,0,7,30,58
Alltag,262,0,0,165,30,7,1,15,2,40,2
Psychologie,254,0,0,173,56,8,2,6,3,5,1
Innovation,253,0,1,76,113,3,2,3,5,39,11
Softwareentwicklung,250,0,0,72,98,0,51,1,10,11,7
Prävention,245,0,0,147,39,9,1,6,2,39,2
Geschichte,244,0,0,134,72,11,5,8,2,12,0
Kollektives Gedächtnis,242,0,0,85,76,28,15,0,2,31,5
Big Data,241,0,0,42,137,3,40,2,2,8,7
Wirtschaftswissenschaften,240,0,137,32,58,3,2,4,1,1,2
Klein- und Mittelbetrieb,239,0,0,143,44,0,6,5,0,35,6
Sozialwissenschaften,239,0,0,112,99,5,8,3,4,8,0
Massenmedien,238,0,0,113,61,11,2,3,6,39,3
Außenpolitik,238,0,0,133,52,5,3,6,5,26,8
Städtebau,237,0,0,91,96,14,11,5,5,13,2
Entwicklung,232,0,36,114,42,8,5,5,1,15,6
Electronic Commerce,232,0,0,119,42,5,30,8,3,21,4
Pädagogik,232,0,0,167,26,15,0,5,0,18,1
Christentum,229,0,0,131,41,27,7,1,5,13,4
Erneuerbare Energien,227,2,0,87,71,10,15,10,3,23,6
Programmierung,227,0,0,86,111,0,17,7,2,1,3
Soziale Ungleichheit,227,0,0,126,38,19,3,2,0,36,3
Python Programmiersprache,218,0,0,42,170,0,0,5,0,1,0
Mensch-Maschine-Kommunikation,217,0,3,38,64,4,70,1,9,19,9
Controlling,216,0,0,168,5,3,0,5,0,33,2
Informatik,215,0,0,64,129,1,13,3,1,2,2
Internationale Politik,215,0,0,71,105,2,6,2,6,19,4
Forschung,215,0,0,87,68,21,4,2,3,27,3
Wirtschaftstheorie,213,0,83,46,63,5,3,2,3,7,1
Rechtsvergleich,213,0,0,24,11,9,2,0,0,143,24
Juden,213,0,0,120,43,13,10,4,4,17,2
Social Media,212,0,1,87,73,3,10,0,1,31,6
Staat,209,0,0,92,52,16,7,3,4,26,9
Optimierung,208,0,0,30,107,0,39,3,4,11,14
Verbraucherverhalten,208,0,0,94,41,2,4,7,2,51,7
Grundschule,206,0,0,136,8,7,0,8,0,46,1
