Subject,Overall Frequency,bau,arc,tec,mas,mat,geo,his,sow,inf,oek,ver,phy,cet,che,elt,fer,rest,pae,lit,hor,bio,spo,rel,phi,jur,meda,lin,ber,med
Architektur,1463,78,1057,7,4,2,26,97,63,8,8,1,1,1,0,6,1,19,50,7,0,0,7,7,5,1,4,2,1,0
Digitalisierung,1087,13,27,53,9,6,11,8,171,101,284,8,2,6,0,10,0,50,217,8,4,1,0,3,17,53,15,9,0,1
Nachhaltigkeit,1024,72,234,16,24,3,57,3,87,15,190,37,2,107,8,10,4,24,53,0,26,12,15,3,3,12,5,0,2,0
Stadtplanung,792,15,452,0,1,1,122,35,93,7,15,15,0,10,0,1,0,2,7,2,1,4,2,2,0,4,1,0,0,0
Künstliche Intelligenz,718,6,10,29,6,42,6,4,49,350,42,7,8,5,2,8,1,9,26,7,1,5,2,2,28,33,20,4,1,5
Unternehmen,710,1,0,33,3,11,2,2,45,132,318,0,0,3,0,2,1,6,123,0,0,1,1,0,1,21,4,0,0,0
Statistik,696,1,1,7,2,349,11,0,71,68,96,1,15,6,4,2,0,7,26,0,1,14,2,0,0,3,9,0,0,0
Stadtentwicklung,654,4,309,1,0,1,130,28,122,2,25,10,0,9,0,0,0,1,6,0,2,0,0,0,0,4,0,0,0,0
Mathematik,585,0,1,9,0,390,3,2,6,31,14,0,34,2,4,1,0,10,53,2,0,5,0,2,10,0,1,4,0,1
Stadt,543,8,152,3,0,0,121,57,122,4,14,8,0,8,0,1,0,2,10,6,4,5,4,6,1,1,4,2,0,0
Informationstechnik,534,2,8,12,1,3,6,3,34,191,140,2,0,0,0,36,0,20,43,1,0,0,2,0,6,20,2,2,0,0
Maschinelles Lernen,530,5,1,11,2,44,5,0,1,404,9,3,12,1,3,11,1,1,3,0,0,4,1,0,1,2,5,0,0,0
Internet,506,0,1,3,1,1,5,4,85,163,44,2,1,0,0,12,0,38,40,8,0,0,0,4,2,76,6,10,0,0
Computersimulation,501,1,3,38,4,139,13,0,6,81,50,4,89,4,16,12,7,6,2,0,2,9,2,0,1,0,8,0,1,3
Mathematisches Modell,482,6,3,39,7,148,36,0,7,13,38,4,69,12,9,10,13,4,6,0,2,33,0,0,1,1,18,0,1,2
Klimaänderung,467,14,36,0,5,3,79,14,53,1,55,5,2,30,1,2,0,89,15,3,23,17,3,3,1,12,1,0,0,0
Internationaler Vergleich,466,0,10,8,0,0,11,21,165,2,126,1,0,1,0,1,0,7,67,1,1,1,3,6,1,25,6,2,0,0
Datenanalyse,466,2,3,5,2,127,25,0,33,152,42,1,23,3,5,2,1,3,9,0,1,10,0,0,0,6,8,0,1,2
Zukunft,439,3,16,16,1,2,18,26,124,14,117,2,0,5,1,1,1,19,30,9,1,0,1,10,15,5,2,0,0,0
Innovation,437,3,6,63,1,3,12,5,43,10,179,5,1,2,0,2,0,7,64,0,4,1,2,4,2,11,5,0,0,2
Physik,417,0,0,7,3,42,11,3,1,8,1,2,276,1,6,4,1,5,9,2,1,5,5,1,14,0,6,2,0,1
Gesellschaft,384,1,28,8,0,3,23,33,151,24,25,0,1,3,1,0,0,13,17,4,0,2,2,18,14,5,8,0,0,0
Methode,383,4,0,7,4,28,23,7,82,7,34,0,5,9,13,0,5,22,51,11,3,18,0,12,13,3,5,15,1,1
Finite-Elemente-Methode,376,9,2,80,9,115,6,0,0,17,2,6,79,6,0,12,15,2,1,0,0,0,2,0,0,0,7,0,1,5
Prävention,364,2,6,5,1,0,7,4,100,5,28,0,1,3,1,0,1,6,104,0,2,0,3,5,0,40,40,0,0,0
Strömungsmechanik,361,2,0,128,3,44,8,0,0,3,0,2,156,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Computersicherheit,352,0,0,1,0,13,0,0,9,259,29,3,0,0,0,18,0,2,8,0,0,0,0,0,0,6,4,0,0,0
Städtebau,336,13,215,0,0,0,37,30,23,0,3,4,0,0,0,1,0,1,4,0,1,0,1,1,0,2,0,0,0,0
Big Data,329,4,7,3,0,29,7,2,20,174,29,3,2,1,0,0,0,8,5,0,1,2,0,0,3,12,13,1,0,3
Entwicklung,328,0,3,2,1,4,9,26,111,10,62,1,1,4,1,1,0,5,46,4,2,2,1,5,9,5,10,3,0,0
Erneuerbare Energien,323,10,21,5,114,1,12,0,5,0,61,6,3,19,10,28,0,6,2,0,3,2,0,0,0,15,0,0,0,0
Optimierung,315,1,0,20,1,143,2,0,2,51,56,9,6,4,2,11,0,1,0,0,0,4,0,0,0,0,1,0,0,1
Modellierung,304,15,4,20,10,30,44,0,10,44,22,4,23,11,5,14,6,2,8,2,6,7,0,0,1,0,10,1,2,3
Data Mining,300,1,1,2,0,39,2,0,5,202,20,1,1,0,0,1,0,5,3,1,0,4,0,0,1,4,6,1,0,0
Softwareentwicklung,300,0,0,3,1,9,1,1,0,243,22,1,0,0,0,4,0,0,6,0,0,3,0,0,0,2,2,1,0,1
R Programm,295,0,1,0,0,129,5,0,11,99,23,0,0,2,2,0,0,0,5,2,1,8,0,0,0,0,5,2,0,0
Management,290,6,6,10,1,4,5,0,17,29,112,6,0,6,1,1,0,4,62,0,1,1,11,0,0,3,4,0,0,0
Bildverarbeitung,287,0,0,4,2,27,16,0,0,162,2,1,7,2,2,19,0,3,0,0,2,5,0,0,0,0,23,0,1,9
Numerisches Verfahren,287,4,0,23,3,141,4,0,0,17,6,2,57,6,1,12,2,3,1,0,0,3,0,0,0,1,1,0,0,0
Umweltschutz,281,2,7,3,2,2,22,2,27,3,56,1,0,54,2,0,0,24,21,1,7,14,2,2,3,19,2,0,3,0
Nanostrukturiertes Material,277,0,1,40,11,2,1,0,0,0,0,1,51,26,32,22,50,0,0,0,6,3,0,0,0,1,15,0,0,15
Thermodynamik,275,2,1,55,14,5,5,0,0,0,2,6,145,6,23,3,2,0,1,0,0,2,0,0,0,0,2,0,0,1
Neue Medien,272,0,5,6,0,3,2,4,56,40,12,0,3,0,0,3,0,32,76,7,0,0,0,2,7,5,1,8,0,0
Informatik,267,1,1,3,0,21,4,0,4,197,12,0,1,0,2,6,0,2,7,0,0,2,0,0,3,0,0,1,0,0
Python Programmiersprache,266,0,0,4,0,48,3,0,2,177,8,0,13,0,0,5,1,0,0,1,0,1,0,0,0,1,1,1,0,0
Kryptologie,263,0,0,0,0,47,1,2,0,171,5,0,0,0,0,34,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Programmierung,261,0,0,10,0,19,2,0,1,202,3,0,6,0,0,12,0,2,2,0,0,1,0,0,0,0,0,1,0,0
Kultur,258,3,19,3,0,2,17,55,58,7,8,5,0,4,0,2,0,6,16,11,2,3,3,15,9,1,5,4,0,0
Wirtschaft,258,0,3,5,0,31,10,18,53,6,100,4,0,5,1,0,0,3,5,1,1,1,0,3,1,5,2,0,0,0
Lebensmittel,256,0,0,0,8,0,0,3,8,0,9,1,1,84,15,0,0,2,21,0,73,6,0,1,0,7,17,0,0,0
Mensch-Maschine-Kommunikation,256,1,0,17,1,3,2,0,10,174,13,5,0,1,0,1,0,2,12,1,0,0,0,0,4,2,2,3,0,2
Informationsgesellschaft,253,0,4,6,0,0,7,3,79,28,29,1,0,0,0,3,0,34,28,3,0,0,0,4,9,11,1,3,0,0
Cloud Computing,252,3,3,2,1,10,2,0,3,169,30,2,0,0,0,6,0,0,3,0,0,0,0,0,0,14,3,0,0,1
Social Media,251,0,1,3,0,1,0,4,67,41,37,0,0,0,0,0,0,29,29,10,0,0,0,0,2,15,1,11,0,0
Algorithmus,245,1,2,6,0,66,1,0,13,120,6,2,5,1,1,5,0,2,2,1,0,1,0,0,2,5,1,1,0,1
Projektmanagement,240,34,29,7,2,3,1,0,6,66,62,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0
Quantenmechanik,240,0,0,2,0,34,1,0,0,4,0,0,183,0,6,1,1,1,3,0,0,4,0,0,0,0,0,0,0,0
Kommunikation,233,3,10,8,0,4,5,4,48,30,38,1,0,2,0,2,0,20,28,8,0,3,0,0,1,6,0,12,0,0
MATLAB,231,0,0,29,0,77,2,0,0,63,0,1,20,5,2,25,2,1,0,0,0,2,0,0,0,0,2,0,0,0
Naturwissenschaften,227,0,0,13,1,18,0,5,16,14,2,0,12,1,2,1,0,52,21,10,0,4,0,21,23,0,4,7,0,0
Globalisierung,225,1,7,5,1,0,25,11,72,5,43,3,0,2,0,0,0,8,16,3,1,2,0,6,6,3,2,3,0,0
Philosophie,225,0,18,5,0,17,0,7,18,5,0,0,34,1,0,2,0,13,14,5,0,7,0,7,65,0,3,4,0,0
Mathematische Physik,224,0,0,7,0,112,1,0,0,2,0,0,98,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Simulation,222,5,4,17,16,26,6,0,2,23,23,15,25,8,3,27,4,2,2,0,1,3,1,0,0,1,7,0,0,1
Biotechnologie,219,1,1,2,1,3,1,1,4,2,7,0,1,86,20,1,1,1,0,0,15,48,0,0,4,5,10,1,0,3
Dynamisches System,215,0,1,11,1,142,1,0,3,11,2,0,19,2,1,6,0,4,0,0,1,7,0,0,1,0,2,0,0,0
Kind,214,0,3,0,0,0,1,4,62,11,2,1,1,1,0,0,0,2,88,7,0,0,1,1,2,5,18,4,0,0
Internet der Dinge,213,7,6,5,2,6,0,0,1,133,14,2,1,1,0,14,0,1,4,0,2,0,0,0,0,2,7,0,0,5
Datensicherung,212,0,0,3,0,5,0,1,5,156,22,1,0,0,0,2,0,1,3,0,0,2,0,0,2,6,2,0,0,1
Systemtheorie,211,0,1,1,1,22,2,0,73,3,27,0,1,0,0,11,0,10,33,3,0,3,1,0,12,2,2,3,0,0
Bautechnik,205,105,71,2,0,1,2,1,0,5,2,2,3,1,0,0,0,1,6,0,0,1,0,1,0,0,0,1,0,0
Datenverarbeitung,204,2,1,4,1,44,7,1,1,73,39,1,4,2,2,2,0,2,3,0,0,3,0,1,0,6,3,0,1,1
Partielle Differentialgleichung,204,0,0,8,0,163,0,0,0,7,1,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Electronic Commerce,203,1,3,0,0,2,1,2,8,65,89,0,0,0,0,5,0,3,8,0,0,0,1,0,0,15,0,0,0,0
Online-Ressource,203,3,2,5,9,7,4,0,15,16,19,14,11,19,6,9,8,12,26,3,1,2,0,1,3,0,5,1,0,2
Nanotechnologie,203,2,2,61,4,1,0,0,3,1,3,0,27,18,24,12,11,0,1,0,4,4,0,0,1,2,13,0,0,9
Wirtschaftswissenschaften,202,0,0,0,0,37,0,0,7,28,125,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
Nanostruktur,202,1,0,38,3,3,1,0,0,1,0,0,88,3,17,17,22,0,0,0,1,6,0,0,0,0,1,0,0,0
Auswirkung,201,0,3,2,0,0,11,56,59,3,23,1,0,4,1,0,0,4,9,1,1,0,1,4,2,5,10,0,1,0
Datenschutz,201,0,0,2,0,4,0,1,14,63,10,2,0,0,0,2,0,5,0,0,0,0,0,1,2,93,2,0,0,0
Polymere,199,0,0,3,6,4,0,0,0,0,0,0,34,15,61,6,51,0,0,0,1,4,0,0,0,0,7,0,0,7
Analysis,198,0,0,4,0,165,0,0,0,6,4,0,9,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0
Sozialwissenschaften,196,0,1,2,0,36,1,0,91,10,20,1,1,0,0,0,0,4,15,2,0,0,0,2,6,0,0,4,0,0
Technik,196,1,1,70,8,11,1,8,17,7,8,3,8,3,0,3,0,8,13,2,3,1,1,3,8,3,1,4,0,0
Politik,194,0,7,5,1,0,11,34,73,2,14,0,0,0,0,1,0,5,4,0,2,0,0,12,9,9,4,1,0,0
Nanopartikel,193,0,0,23,10,1,0,0,0,1,0,0,32,23,55,4,17,2,0,0,1,9,0,0,0,0,8,0,0,7
Reform,189,0,0,2,0,0,1,8,56,0,44,1,0,0,0,0,0,3,10,0,0,0,0,8,2,38,16,0,0,0
Bioinformatik,189,0,0,1,0,51,0,0,0,52,0,0,1,7,3,0,0,1,0,0,0,64,0,0,1,0,8,0,0,0
Arbeitswelt,186,1,4,22,0,0,2,1,34,10,49,1,1,0,0,0,0,1,44,2,0,0,0,0,1,9,4,0,0,0
Technische Mechanik,183,3,0,80,0,10,0,0,0,0,0,0,87,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovationsmanagement,183,1,4,32,2,1,0,0,9,15,75,3,0,2,0,2,0,3,26,0,0,0,1,0,0,5,1,0,1,0
Neuronales Netz,182,3,0,6,1,20,7,0,1,111,7,3,3,1,0,3,0,0,3,1,0,4,0,0,1,0,4,1,1,1
Jugend,182,0,6,3,0,0,2,3,76,9,2,0,0,0,0,0,0,1,57,4,0,0,0,4,1,6,8,0,0,0
Chemie,181,2,2,4,0,2,7,0,0,2,0,0,9,16,100,0,1,2,12,1,3,13,0,0,0,0,5,0,0,0
Bekämpfung,179,0,0,6,0,0,2,19,74,0,23,1,0,1,0,0,0,0,8,0,0,0,0,8,1,33,3,0,0,0
Kunststoff,178,2,1,0,5,1,0,0,1,0,3,2,18,48,19,1,62,0,2,0,0,2,0,0,0,1,5,0,0,5
Aufsatzsammlung,178,0,3,5,0,6,6,3,32,6,43,1,3,0,4,1,0,3,30,6,2,3,1,3,5,3,3,6,0,0
Öffentlicher Raum,177,5,68,0,0,0,27,7,46,1,2,3,0,0,0,1,0,5,4,2,0,0,0,0,0,4,0,2,0,0
Kunst,176,1,46,4,1,3,6,15,11,8,3,0,2,0,0,0,0,28,24,7,0,3,0,3,7,1,0,3,0,0
Literatur,173,0,2,2,1,1,7,11,10,2,0,0,1,1,0,0,0,2,4,82,0,2,0,1,5,0,0,39,0,0
Krise,173,0,2,0,0,0,2,19,72,0,16,1,0,0,0,0,0,10,19,2,0,0,0,7,8,7,7,1,0,0
Experiment,170,0,4,6,3,6,2,0,5,1,74,1,25,1,9,1,0,0,17,1,2,7,0,0,2,1,1,1,0,0
Lineare Algebra,170,0,0,3,0,139,2,0,0,13,3,0,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
Bildgebendes Verfahren,169,0,0,2,0,31,0,0,0,37,0,0,13,0,3,4,0,2,0,0,0,8,0,0,0,0,49,0,0,20
